category,benchmark,tool,source_edge_count,static_edge_count,covered_count,missed_count,coverage,tool_output_present
ArraysAndLists,MultidimensionalArray1,GATOR,7,16,7,0,1.0,yes
ArraysAndLists,MultidimensionalArray1,MAMADROID,7,10,6,1,0.857143,yes
ArraysAndLists,MultidimensionalArray1,NATIDROID,7,2314,7,0,1.0,yes
Callbacks,AnonymousClass1,Androguard,17,2352,17,0,1.0,yes
Callbacks,AnonymousClass1,FlowDroid,17,28,13,4,0.764706,yes
Callbacks,AnonymousClass1,GATOR,17,2996,17,0,1.0,yes
Callbacks,AnonymousClass1,MAMADROID,17,25,13,4,0.764706,yes
Callbacks,AnonymousClass1,NATIDROID,17,5330,17,0,1.0,yes
Callbacks,Button1,Androguard,9,2345,9,0,1.0,yes
Callbacks,Button1,FlowDroid,9,15,6,3,0.666667,yes
Callbacks,Button1,GATOR,9,2987,9,0,1.0,yes
Callbacks,Button1,MAMADROID,9,14,6,3,0.666667,yes
Callbacks,Button1,NATIDROID,9,5297,9,0,1.0,yes
Callbacks,Button2,Androguard,20,2356,20,0,1.0,yes
Callbacks,Button2,FlowDroid,20,29,17,3,0.85,yes
Callbacks,Button2,GATOR,20,2996,20,0,1.0,yes
Callbacks,Button2,MAMADROID,20,26,17,3,0.85,yes
Callbacks,Button2,NATIDROID,20,5298,20,0,1.0,yes
Callbacks,Button3,Androguard,15,2734,15,0,1.0,yes
Callbacks,Button3,FlowDroid,15,19,10,5,0.666667,yes
Callbacks,Button3,GATOR,15,3486,15,0,1.0,yes
Callbacks,Button3,MAMADROID,15,18,10,5,0.666667,yes
Callbacks,Button3,NATIDROID,15,5759,15,0,1.0,yes
Callbacks,Button4,Androguard,9,2345,9,0,1.0,yes
Callbacks,Button4,FlowDroid,9,15,6,3,0.666667,yes
Callbacks,Button4,GATOR,9,2987,9,0,1.0,yes
Callbacks,Button4,MAMADROID,9,14,6,3,0.666667,yes
Callbacks,Button4,NATIDROID,9,5297,9,0,1.0,yes
Callbacks,Button5,Androguard,7,2345,7,0,1.0,yes
Callbacks,Button5,FlowDroid,7,14,4,3,0.571429,yes
Callbacks,Button5,GATOR,7,2988,7,0,1.0,yes
Callbacks,Button5,MAMADROID,7,13,4,3,0.571429,yes
Callbacks,Button5,NATIDROID,7,5443,7,0,1.0,yes
Callbacks,LocationLeak1,Androguard,19,2354,19,0,1.0,yes
Callbacks,LocationLeak1,FlowDroid,19,27,15,4,0.789474,yes
Callbacks,LocationLeak1,GATOR,19,2993,19,0,1.0,yes
Callbacks,LocationLeak1,MAMADROID,19,25,15,4,0.789474,yes
Callbacks,LocationLeak1,NATIDROID,19,5328,19,0,1.0,yes
Callbacks,LocationLeak2,Androguard,16,2351,16,0,1.0,yes
Callbacks,LocationLeak2,FlowDroid,16,24,12,4,0.75,yes
Callbacks,LocationLeak2,GATOR,16,2991,16,0,1.0,yes
Callbacks,LocationLeak2,MAMADROID,16,22,12,4,0.75,yes
Callbacks,LocationLeak2,NATIDROID,16,5326,16,0,1.0,yes
Callbacks,LocationLeak3,Androguard,17,2735,17,0,1.0,yes
Callbacks,LocationLeak3,FlowDroid,17,25,14,3,0.823529,yes
Callbacks,LocationLeak3,GATOR,17,3485,17,0,1.0,yes
Callbacks,LocationLeak3,MAMADROID,17,22,14,3,0.823529,yes
Callbacks,LocationLeak3,NATIDROID,17,5785,17,0,1.0,yes
Callbacks,MethodOverride1,Androguard,5,2343,5,0,1.0,yes
Callbacks,MethodOverride1,FlowDroid,5,12,4,1,0.8,yes
Callbacks,MethodOverride1,GATOR,5,2981,5,0,1.0,yes
Callbacks,MethodOverride1,MAMADROID,5,11,4,1,0.8,yes
Callbacks,MethodOverride1,NATIDROID,5,5281,5,0,1.0,yes
Callbacks,MultiHandlers1,Androguard,12,2736,12,0,1.0,yes
Callbacks,MultiHandlers1,FlowDroid,12,34,11,1,0.916667,yes
Callbacks,MultiHandlers1,GATOR,12,3487,12,0,1.0,yes
Callbacks,MultiHandlers1,MAMADROID,12,30,11,1,0.916667,yes
Callbacks,MultiHandlers1,NATIDROID,12,5787,12,0,1.0,yes
Callbacks,Ordering1,Androguard,13,2735,13,0,1.0,yes
Callbacks,Ordering1,FlowDroid,13,25,11,2,0.846154,yes
Callbacks,Ordering1,GATOR,13,3487,13,0,1.0,yes
Callbacks,Ordering1,MAMADROID,13,23,11,2,0.846154,yes
Callbacks,Ordering1,NATIDROID,13,5786,13,0,1.0,yes
Callbacks,RegisterGlobal1,Androguard,19,2741,19,0,1.0,yes
Callbacks,RegisterGlobal1,FlowDroid,19,47,16,3,0.842105,yes
Callbacks,RegisterGlobal1,GATOR,19,3498,19,0,1.0,yes
Callbacks,RegisterGlobal1,MAMADROID,19,45,16,3,0.842105,yes
Callbacks,RegisterGlobal1,NATIDROID,19,5768,19,0,1.0,yes
Callbacks,RegisterGlobal2,Androguard,5,2731,5,0,1.0,yes
Callbacks,RegisterGlobal2,FlowDroid,5,23,4,1,0.8,yes
Callbacks,RegisterGlobal2,GATOR,5,3487,5,0,1.0,yes
Callbacks,RegisterGlobal2,MAMADROID,5,,,,,no
Callbacks,RegisterGlobal2,NATIDROID,5,5758,5,0,1.0,yes
Callbacks,Unregister1,Androguard,8,2734,8,0,1.0,yes
Callbacks,Unregister1,FlowDroid,8,23,6,2,0.75,yes
Callbacks,Unregister1,GATOR,8,3486,8,0,1.0,yes
Callbacks,Unregister1,MAMADROID,8,20,6,2,0.75,yes
Callbacks,Unregister1,NATIDROID,8,5759,8,0,1.0,yes
EmulatorDetection,ContentProvider1,Androguard,5,7744,5,0,1.0,yes
EmulatorDetection,ContentProvider1,FlowDroid,5,32,3,2,0.6,yes
EmulatorDetection,ContentProvider1,GATOR,5,9115,5,0,1.0,yes
EmulatorDetection,ContentProvider1,MAMADROID,5,30,3,2,0.6,yes
EmulatorDetection,ContentProvider1,NATIDROID,5,11607,5,0,1.0,yes
EmulatorDetection,IMEI1,Androguard,10,7741,10,0,1.0,yes
EmulatorDetection,IMEI1,FlowDroid,10,24,9,1,0.9,yes
EmulatorDetection,IMEI1,GATOR,10,9112,10,0,1.0,yes
EmulatorDetection,IMEI1,MAMADROID,10,20,8,2,0.8,yes
EmulatorDetection,IMEI1,NATIDROID,10,11605,10,0,1.0,yes
EmulatorDetection,PlayStore1,Androguard,308,7750,308,0,1.0,yes
EmulatorDetection,PlayStore1,FlowDroid,308,24,8,300,0.025974,yes
EmulatorDetection,PlayStore1,GATOR,308,9062,296,12,0.961039,yes
EmulatorDetection,PlayStore1,MAMADROID,308,23,8,300,0.025974,yes
EmulatorDetection,PlayStore1,NATIDROID,308,11340,296,12,0.961039,yes
FieldAndObjectSensitivity,FieldSensitivity1,Androguard,13,2349,13,0,1.0,yes
FieldAndObjectSensitivity,FieldSensitivity1,FlowDroid,13,18,11,2,0.846154,yes
FieldAndObjectSensitivity,FieldSensitivity1,GATOR,13,2988,13,0,1.0,yes
FieldAndObjectSensitivity,FieldSensitivity1,MAMADROID,13,17,11,2,0.846154,yes
FieldAndObjectSensitivity,FieldSensitivity1,NATIDROID,13,5292,13,0,1.0,yes
FieldAndObjectSensitivity,FieldSensitivity2,Androguard,11,2347,11,0,1.0,yes
FieldAndObjectSensitivity,FieldSensitivity2,FlowDroid,11,16,9,2,0.818182,yes
FieldAndObjectSensitivity,FieldSensitivity2,GATOR,11,2985,11,0,1.0,yes
FieldAndObjectSensitivity,FieldSensitivity2,MAMADROID,11,15,9,2,0.818182,yes
FieldAndObjectSensitivity,FieldSensitivity2,NATIDROID,11,5289,11,0,1.0,yes
FieldAndObjectSensitivity,FieldSensitivity3,Androguard,11,2347,11,0,1.0,yes
FieldAndObjectSensitivity,FieldSensitivity3,FlowDroid,11,16,9,2,0.818182,yes
FieldAndObjectSensitivity,FieldSensitivity3,GATOR,11,2985,11,0,1.0,yes
FieldAndObjectSensitivity,FieldSensitivity3,MAMADROID,11,15,9,2,0.818182,yes
FieldAndObjectSensitivity,FieldSensitivity3,NATIDROID,11,5289,11,0,1.0,yes
FieldAndObjectSensitivity,FieldSensitivity4,Androguard,8,2344,8,0,1.0,yes
FieldAndObjectSensitivity,FieldSensitivity4,FlowDroid,8,13,6,2,0.75,yes
FieldAndObjectSensitivity,FieldSensitivity4,GATOR,8,2982,8,0,1.0,yes
FieldAndObjectSensitivity,FieldSensitivity4,MAMADROID,8,12,6,2,0.75,yes
FieldAndObjectSensitivity,FieldSensitivity4,NATIDROID,8,5286,8,0,1.0,yes
FieldAndObjectSensitivity,InheritedObjects1,Androguard,9,2345,9,0,1.0,yes
FieldAndObjectSensitivity,InheritedObjects1,FlowDroid,9,14,7,2,0.777778,yes
FieldAndObjectSensitivity,InheritedObjects1,GATOR,9,2983,9,0,1.0,yes
FieldAndObjectSensitivity,InheritedObjects1,MAMADROID,9,13,7,2,0.777778,yes
FieldAndObjectSensitivity,InheritedObjects1,NATIDROID,9,5287,9,0,1.0,yes
FieldAndObjectSensitivity,ObjectSensitivity1,Androguard,10,2346,10,0,1.0,yes
FieldAndObjectSensitivity,ObjectSensitivity1,FlowDroid,10,13,8,2,0.8,yes
FieldAndObjectSensitivity,ObjectSensitivity1,GATOR,10,2984,10,0,1.0,yes
FieldAndObjectSensitivity,ObjectSensitivity1,MAMADROID,10,12,8,2,0.8,yes
FieldAndObjectSensitivity,ObjectSensitivity1,NATIDROID,10,5288,10,0,1.0,yes
FieldAndObjectSensitivity,ObjectSensitivity2,Androguard,8,2344,8,0,1.0,yes
FieldAndObjectSensitivity,ObjectSensitivity2,FlowDroid,8,13,6,2,0.75,yes
FieldAndObjectSensitivity,ObjectSensitivity2,GATOR,8,2982,8,0,1.0,yes
