tool,proxy,bucket,signature,all_tags
MAMADROID,malware_evasion,reflection_and_dynamic_loading,<java.lang.Runtime: long totalMemory()>,reflection
MAMADROID,malware_evasion,reflection_and_dynamic_loading,<java.lang.reflect.Method: int hashCode()>,reflection
MAMADROID,malware_evasion,reflection_and_dynamic_loading,<java.lang.Runtime: void runFinalization()>,reflection
MAMADROID,malware_evasion,reflection_and_dynamic_loading,<java.lang.reflect.Field: int getModifiers()>,reflection
MAMADROID,malware_evasion,reflection_and_dynamic_loading,<java.lang.Runtime: int availableProcessors()>,reflection
MAMADROID,malware_evasion,reflection_and_dynamic_loading,<java.lang.reflect.Member: int getModifiers()>,reflection
MAMADROID,malware_evasion,reflection_and_dynamic_loading,<java.lang.reflect.Method: boolean isBridge()>,reflection
MAMADROID,malware_evasion,reflection_and_dynamic_loading,<java.lang.reflect.Method: int getModifiers()>,reflection
MAMADROID,malware_evasion,reflection_and_dynamic_loading,<java.lang.reflect.Method: boolean isDefault()>,reflection
MAMADROID,malware_evasion,reflection_and_dynamic_loading,<java.lang.reflect.Method: boolean isVarArgs()>,reflection
MAMADROID,malware_evasion,reflection_and_dynamic_loading,<java.lang.reflect.Field: boolean isSynthetic()>,reflection
MAMADROID,malware_evasion,hidden_entrypoints_and_callbacks,<android.app.Dialog: void onStop()>,callback|entrypoint
MAMADROID,malware_evasion,hidden_entrypoints_and_callbacks,<android.app.Dialog: void onStart()>,callback|entrypoint
MAMADROID,malware_evasion,hidden_entrypoints_and_callbacks,<android.widget.Magnifier: void update()>,entrypoint|sensitive_api
MAMADROID,malware_evasion,hidden_entrypoints_and_callbacks,<android.view.View: void onAnimationEnd()>,callback
MAMADROID,malware_evasion,hidden_entrypoints_and_callbacks,<android.view.View: void onAnimationStart()>,callback
MAMADROID,malware_evasion,hidden_entrypoints_and_callbacks,<android.app.Dialog: void onAttachedToWindow()>,callback
MAMADROID,malware_evasion,hidden_entrypoints_and_callbacks,<android.widget.EdgeEffect: void onAbsorb(int)>,callback
MAMADROID,malware_evasion,hidden_entrypoints_and_callbacks,<android.widget.EdgeEffect: void onPull(float)>,callback
MAMADROID,malware_evasion,hidden_entrypoints_and_callbacks,<android.support.v4.app.Fragment: void onStop()>,callback|entrypoint
MAMADROID,malware_evasion,hidden_entrypoints_and_callbacks,<android.support.v4.media.b: void onConnected()>,callback
MAMADROID,malware_evasion,hidden_entrypoints_and_callbacks,<android.app.Dialog: void onDetachedFromWindow()>,callback
MAMADROID,malware_evasion,hidden_entrypoints_and_callbacks,<android.support.v4.app.Fragment: void onPause()>,callback|entrypoint
MAMADROID,malware_evasion,hidden_entrypoints_and_callbacks,<android.support.v4.app.Fragment: void onStart()>,callback|entrypoint
MAMADROID,malware_evasion,hidden_entrypoints_and_callbacks,"<android.webkit.WebView: void onMeasure(int,int)>",callback|webview
MAMADROID,malware_evasion,hidden_entrypoints_and_callbacks,"<android.widget.Spinner: void onMeasure(int,int)>",callback
MAMADROID,malware_evasion,ipc_and_dispatch,<android.content.Context: boolean isRestricted()>,ipc
MAMADROID,malware_evasion,ipc_and_dispatch,<android.content.Context: java.io.File getCacheDir()>,ipc
MAMADROID,malware_evasion,ipc_and_dispatch,<android.content.Context: java.io.File getFilesDir()>,ipc
MAMADROID,malware_evasion,ipc_and_dispatch,<android.content.Context: java.io.File getCodeCacheDir()>,ipc
MAMADROID,malware_evasion,ipc_and_dispatch,<android.content.IntentFilter: int countDataAuthorities()>,ipc
MAMADROID,malware_evasion,ipc_and_dispatch,<android.content.Context: android.os.Looper getMainLooper()>,ipc
MAMADROID,malware_evasion,ipc_and_dispatch,<android.content.Context: java.lang.String getPackageName()>,ipc
MAMADROID,malware_evasion,ipc_and_dispatch,<android.content.Context: java.lang.String[] databaseList()>,ipc
MAMADROID,malware_evasion,ipc_and_dispatch,<android.content.Context: java.io.File getExternalCacheDir()>,ipc
MAMADROID,malware_evasion,ipc_and_dispatch,<android.content.Context: java.io.File getNoBackupFilesDir()>,ipc
MAMADROID,malware_evasion,ipc_and_dispatch,<android.content.Context: boolean deleteFile(java.lang.String)>,ipc
MAMADROID,malware_evasion,ipc_and_dispatch,<android.content.Context: java.io.File[] getExternalCacheDirs()>,ipc
MAMADROID,malware_evasion,ipc_and_dispatch,<android.content.Context: java.io.File[] getExternalMediaDirs()>,ipc
MAMADROID,malware_evasion,ipc_and_dispatch,<android.content.Context: java.lang.String getBasePackageName()>,ipc
MAMADROID,malware_evasion,ipc_and_dispatch,<android.content.Context: java.lang.String getPackageCodePath()>,ipc
NATIDROID,privacy,device_and_subscriber_ids,<android.telephony.CellSignalStrength: int getDbm()>,telephony
NATIDROID,privacy,device_and_subscriber_ids,<android.telephony.euicc.EuiccManager: boolean isEnabled()>,telephony
NATIDROID,privacy,device_and_subscriber_ids,<android.telephony.CellIdentityLte: java.lang.String getMccString()>,telephony
NATIDROID,privacy,device_and_subscriber_ids,<android.telephony.CellIdentityLte: java.lang.String getMncString()>,telephony
