tool,signature,class_name,method_name,primary_tag,all_tags
ANDROGUARD,"<android.app.Application$ActivityLifecycleCallbacks: void onActivitySaveInstanceState(android.app.Activity,android.os.Bundle)>",android.app.Application$ActivityLifecycleCallbacks,onActivitySaveInstanceState,callback,callback
ANDROGUARD,"<android.app.Dialog: boolean onKeyDown(int,android.view.KeyEvent)>",android.app.Dialog,onKeyDown,callback,callback
ANDROGUARD,"<android.app.Dialog: boolean onKeyUp(int,android.view.KeyEvent)>",android.app.Dialog,onKeyUp,callback,callback
ANDROGUARD,"<android.app.Service: int onStartCommand(android.content.Intent,int,int)>",android.app.Service,onStartCommand,callback,callback|component|entrypoint
ANDROGUARD,"<android.app.Service: void onStart(android.content.Intent,int)>",android.app.Service,onStart,callback,callback|component|entrypoint
ANDROGUARD,"<android.app.Service: void startForeground(int,android.app.Notification)>",android.app.Service,startForeground,component,component
ANDROGUARD,"<android.app.Service: void startForeground(int,android.app.Notification,int)>",android.app.Service,startForeground,component,component
ANDROGUARD,"<android.content.BroadcastReceiver: void onReceive(android.content.Context,android.content.Intent)>",android.content.BroadcastReceiver,onReceive,callback,callback|component|entrypoint
ANDROGUARD,"<android.content.BroadcastReceiver: void setResult(int,java.lang.String,android.os.Bundle)>",android.content.BroadcastReceiver,setResult,component,component
ANDROGUARD,"<android.content.ContentProvider: void attachInfo(android.content.Context,android.content.pm.ProviderInfo)>",android.content.ContentProvider,attachInfo,callback,callback|component|entrypoint
ANDROGUARD,"<android.content.ContentProviderClient: android.database.Cursor query(android.net.Uri,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String)>",android.content.ContentProviderClient,query,component,component|entrypoint|sensitive_api
ANDROGUARD,"<android.content.ContentProviderClient: android.database.Cursor query(android.net.Uri,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String,android.os.CancellationSignal)>",android.content.ContentProviderClient,query,component,component|entrypoint|sensitive_api
ANDROGUARD,"<android.content.ContentProviderClient: android.os.Bundle call(java.lang.String,java.lang.String,android.os.Bundle)>",android.content.ContentProviderClient,call,component,component|entrypoint
ANDROGUARD,"<android.content.ContentProviderOperation$Builder: android.content.ContentProviderOperation$Builder withSelection(java.lang.String,java.lang.String[])>",android.content.ContentProviderOperation$Builder,withSelection,component,component
ANDROGUARD,"<android.content.ContentResolver: android.content.ContentProviderResult[] applyBatch(java.lang.String,java.util.ArrayList)>",android.content.ContentResolver,applyBatch,content_resolver,content_resolver
ANDROGUARD,"<android.content.ContentResolver: android.content.res.AssetFileDescriptor openAssetFileDescriptor(android.net.Uri,java.lang.String)>",android.content.ContentResolver,openAssetFileDescriptor,content_resolver,content_resolver
ANDROGUARD,"<android.content.ContentResolver: android.database.Cursor query(android.net.Uri,java.lang.String[],android.os.Bundle,android.os.CancellationSignal)>",android.content.ContentResolver,query,content_resolver,content_resolver|entrypoint|sensitive_api
ANDROGUARD,"<android.content.ContentResolver: android.database.Cursor query(android.net.Uri,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String)>",android.content.ContentResolver,query,content_resolver,content_resolver|entrypoint|sensitive_api
ANDROGUARD,"<android.content.ContentResolver: android.database.Cursor query(android.net.Uri,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String,android.os.CancellationSignal)>",android.content.ContentResolver,query,content_resolver,content_resolver|entrypoint|sensitive_api
ANDROGUARD,"<android.content.ContentResolver: android.net.Uri insert(android.net.Uri,android.content.ContentValues)>",android.content.ContentResolver,insert,content_resolver,content_resolver|entrypoint|sensitive_api
ANDROGUARD,"<android.content.ContentResolver: android.os.Bundle call(android.net.Uri,java.lang.String,java.lang.String,android.os.Bundle)>",android.content.ContentResolver,call,content_resolver,content_resolver|entrypoint
ANDROGUARD,"<android.content.ContentResolver: android.os.ParcelFileDescriptor openFileDescriptor(android.net.Uri,java.lang.String,android.os.CancellationSignal)>",android.content.ContentResolver,openFileDescriptor,content_resolver,content_resolver
ANDROGUARD,"<android.content.ContentResolver: int delete(android.net.Uri,java.lang.String,java.lang.String[])>",android.content.ContentResolver,delete,content_resolver,content_resolver|entrypoint|sensitive_api
ANDROGUARD,"<android.content.ContentResolver: int update(android.net.Uri,android.content.ContentValues,java.lang.String,java.lang.String[])>",android.content.ContentResolver,update,content_resolver,content_resolver|entrypoint|sensitive_api
ANDROGUARD,"<android.content.ContentResolver: void notifyChange(android.net.Uri,android.database.ContentObserver)>",android.content.ContentResolver,notifyChange,content_resolver,content_resolver
ANDROGUARD,"<android.content.ContentResolver: void registerContentObserver(android.net.Uri,boolean,android.database.ContentObserver)>",android.content.ContentResolver,registerContentObserver,content_resolver,content_resolver
ANDROGUARD,"<android.content.Context: android.content.Context createPackageContext(java.lang.String,int)>",android.content.Context,createPackageContext,ipc,ipc
ANDROGUARD,"<android.content.Context: android.content.Context createWindowContext(android.view.Display,int,android.os.Bundle)>",android.content.Context,createWindowContext,ipc,ipc
ANDROGUARD,"<android.content.Context: android.content.Intent registerReceiver(android.content.BroadcastReceiver,android.content.IntentFilter)>",android.content.Context,registerReceiver,ipc,ipc|sensitive_api
ANDROGUARD,"<android.content.Context: android.content.Intent registerReceiver(android.content.BroadcastReceiver,android.content.IntentFilter,int)>",android.content.Context,registerReceiver,ipc,ipc|sensitive_api
ANDROGUARD,"<android.content.Context: android.content.Intent registerReceiver(android.content.BroadcastReceiver,android.content.IntentFilter,java.lang.String,android.os.Handler)>",android.content.Context,registerReceiver,ipc,ipc|sensitive_api
ANDROGUARD,"<android.content.Context: android.content.Intent registerReceiver(android.content.BroadcastReceiver,android.content.IntentFilter,java.lang.String,android.os.Handler,int)>",android.content.Context,registerReceiver,ipc,ipc|sensitive_api
ANDROGUARD,"<android.content.Context: android.content.SharedPreferences getSharedPreferences(java.lang.String,int)>",android.content.Context,getSharedPreferences,ipc,ipc
ANDROGUARD,"<android.content.Context: android.content.res.TypedArray obtainStyledAttributes(android.util.AttributeSet,int[])>",android.content.Context,obtainStyledAttributes,ipc,ipc
ANDROGUARD,"<android.content.Context: android.content.res.TypedArray obtainStyledAttributes(android.util.AttributeSet,int[],int,int)>",android.content.Context,obtainStyledAttributes,ipc,ipc
ANDROGUARD,"<android.content.Context: android.content.res.TypedArray obtainStyledAttributes(int,int[])>",android.content.Context,obtainStyledAttributes,ipc,ipc
ANDROGUARD,"<android.content.Context: android.database.sqlite.SQLiteDatabase openOrCreateDatabase(java.lang.String,int,android.database.sqlite.SQLiteDatabase$CursorFactory)>",android.content.Context,openOrCreateDatabase,ipc,ipc
ANDROGUARD,"<android.content.Context: boolean bindService(android.content.Intent,android.content.ServiceConnection,int)>",android.content.Context,bindService,ipc,ipc|sensitive_api
ANDROGUARD,"<android.content.Context: boolean moveSharedPreferencesFrom(android.content.Context,java.lang.String)>",android.content.Context,moveSharedPreferencesFrom,ipc,ipc
ANDROGUARD,"<android.content.Context: int checkPermission(java.lang.String,int,int)>",android.content.Context,checkPermission,ipc,ipc
ANDROGUARD,"<android.content.Context: java.io.File getDir(java.lang.String,int)>",android.content.Context,getDir,ipc,ipc
ANDROGUARD,"<android.content.Context: java.io.FileOutputStream openFileOutput(java.lang.String,int)>",android.content.Context,openFileOutput,ipc,ipc
ANDROGUARD,"<android.content.Context: java.lang.String getString(int,java.lang.Object[])>",android.content.Context,getString,ipc,ipc
ANDROGUARD,"<android.content.Context: void grantUriPermission(java.lang.String,android.net.Uri,int)>",android.content.Context,grantUriPermission,ipc,ipc
ANDROGUARD,"<android.content.Context: void sendBroadcast(android.content.Intent,java.lang.String)>",android.content.Context,sendBroadcast,ipc,ipc|sensitive_api
ANDROGUARD,"<android.content.Context: void sendOrderedBroadcast(android.content.Intent,java.lang.String)>",android.content.Context,sendOrderedBroadcast,ipc,ipc
ANDROGUARD,"<android.content.Context: void sendOrderedBroadcast(android.content.Intent,java.lang.String,android.content.BroadcastReceiver,android.os.Handler,int,java.lang.String,android.os.Bundle)>",android.content.Context,sendOrderedBroadcast,ipc,ipc
ANDROGUARD,"<android.content.Context: void startActivity(android.content.Intent,android.os.Bundle)>",android.content.Context,startActivity,ipc,ipc
ANDROGUARD,"<android.content.ContextWrapper: android.content.Intent registerReceiver(android.content.BroadcastReceiver,android.content.IntentFilter)>",android.content.ContextWrapper,registerReceiver,ipc,ipc|sensitive_api
ANDROGUARD,"<android.content.ContextWrapper: android.content.Intent registerReceiver(android.content.BroadcastReceiver,android.content.IntentFilter,int)>",android.content.ContextWrapper,registerReceiver,ipc,ipc|sensitive_api
