tool,signature,apps_as_dynamic_entry,class_name,method_name,primary_tag,all_tags,non_library,nonobf_strict
ANDROGUARD,<io.reactivex.disposables.CompositeDisposable: boolean delete(io.reactivex.disposables.Disposable)>,18,io.reactivex.disposables.CompositeDisposable,delete,sensitive_api,entrypoint|sensitive_api,no,yes
ANDROGUARD,"<com.facebook.react.modules.core.TimingModule: void createTimer(double,double,double,boolean)>",17,com.facebook.react.modules.core.TimingModule,createTimer,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,"<com.facebook.react.uimanager.ReanimatedUIManager: void setChildren(int,com.facebook.react.bridge.ReadableArray)>",17,com.facebook.react.uimanager.ReanimatedUIManager,setChildren,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,"<com.google.android.gms.measurement.internal.AppMeasurementDynamiteService: void onActivityCreatedByScionActivityInfo(com.google.android.gms.internal.measurement.zzdf,android.os.Bundle,long)>",17,com.google.android.gms.measurement.internal.AppMeasurementDynamiteService,onActivityCreatedByScionActivityInfo,callback,callback|entrypoint,no,yes
ANDROGUARD,"<com.google.android.gms.measurement.internal.AppMeasurementDynamiteService: void onActivityResumedByScionActivityInfo(com.google.android.gms.internal.measurement.zzdf,long)>",17,com.google.android.gms.measurement.internal.AppMeasurementDynamiteService,onActivityResumedByScionActivityInfo,callback,callback|entrypoint,no,yes
ANDROGUARD,"<io.flutter.embedding.android.FlutterView: void onSizeChanged(int,int,int,int)>",17,io.flutter.embedding.android.FlutterView,onSizeChanged,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,"<io.flutter.embedding.engine.dart.DartExecutor: void send(java.lang.String,java.nio.ByteBuffer,io.flutter.plugin.common.BinaryMessenger$BinaryReply)>",17,io.flutter.embedding.engine.dart.DartExecutor,send,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,"<io.flutter.embedding.engine.dart.DartExecutor: void setMessageHandler(java.lang.String,io.flutter.plugin.common.BinaryMessenger$BinaryMessageHandler)>",17,io.flutter.embedding.engine.dart.DartExecutor,setMessageHandler,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,"<okio.JvmSystemFileSystem: void delete(okio.Path,boolean)>",17,okio.JvmSystemFileSystem,delete,network,entrypoint|network|sensitive_api,no,yes
ANDROGUARD,"<com.facebook.react.uimanager.ReanimatedUIManager: void manageChildren(int,com.facebook.react.bridge.ReadableArray,com.facebook.react.bridge.ReadableArray,com.facebook.react.bridge.ReadableArray,com.facebook.react.bridge.ReadableArray,com.facebook.react.bridge.ReadableArray)>",16,com.facebook.react.uimanager.ReanimatedUIManager,manageChildren,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,"<com.google.android.gms.measurement.internal.AppMeasurementDynamiteService: void onActivityPausedByScionActivityInfo(com.google.android.gms.internal.measurement.zzdf,long)>",16,com.google.android.gms.measurement.internal.AppMeasurementDynamiteService,onActivityPausedByScionActivityInfo,callback,callback|entrypoint,no,yes
ANDROGUARD,"<com.google.android.gms.measurement.internal.AppMeasurementDynamiteService: void onActivityStartedByScionActivityInfo(com.google.android.gms.internal.measurement.zzdf,long)>",16,com.google.android.gms.measurement.internal.AppMeasurementDynamiteService,onActivityStartedByScionActivityInfo,callback,callback|entrypoint,no,yes
ANDROGUARD,"<io.flutter.embedding.engine.dart.DartExecutor$DefaultBinaryMessenger: void send(java.lang.String,java.nio.ByteBuffer,io.flutter.plugin.common.BinaryMessenger$BinaryReply)>",16,io.flutter.embedding.engine.dart.DartExecutor$DefaultBinaryMessenger,send,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,"<io.flutter.embedding.engine.dart.DartExecutor$DefaultBinaryMessenger: void setMessageHandler(java.lang.String,io.flutter.plugin.common.BinaryMessenger$BinaryMessageHandler)>",16,io.flutter.embedding.engine.dart.DartExecutor$DefaultBinaryMessenger,setMessageHandler,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,"<okio.JvmSystemFileSystem: okio.FileHandle openReadWrite(okio.Path,boolean,boolean)>",16,okio.JvmSystemFileSystem,openReadWrite,network,network,no,yes
ANDROGUARD,"<okio.NioSystemFileSystem: void atomicMove(okio.Path,okio.Path)>",16,okio.NioSystemFileSystem,atomicMove,network,network,no,yes
ANDROGUARD,"<okio.RealBufferedSink$outputStream$1: void write(byte[],int,int)>",16,okio.RealBufferedSink$outputStream$1,write,network,network,no,yes
ANDROGUARD,"<com.facebook.react.CoreModulesPackage: com.facebook.react.bridge.NativeModule getModule(java.lang.String,com.facebook.react.bridge.ReactApplicationContext)>",15,com.facebook.react.CoreModulesPackage,getModule,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,"<com.facebook.react.ReactActivity: boolean onKeyDown(int,android.view.KeyEvent)>",15,com.facebook.react.ReactActivity,onKeyDown,callback,callback|entrypoint|sdk_mediated,no,yes
ANDROGUARD,"<com.facebook.react.modules.statusbar.StatusBarModule: void setColor(double,boolean)>",15,com.facebook.react.modules.statusbar.StatusBarModule,setColor,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,"<io.flutter.embedding.android.FlutterSurfaceView$1: void surfaceChanged(android.view.SurfaceHolder,int,int,int)>",15,io.flutter.embedding.android.FlutterSurfaceView$1,surfaceChanged,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,"<io.flutter.embedding.engine.dart.DartExecutor$1: void onMessage(java.nio.ByteBuffer,io.flutter.plugin.common.BinaryMessenger$BinaryReply)>",15,io.flutter.embedding.engine.dart.DartExecutor$1,onMessage,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,"<io.flutter.embedding.engine.dart.DartExecutor: void setMessageHandler(java.lang.String,io.flutter.plugin.common.BinaryMessenger$BinaryMessageHandler,io.flutter.plugin.common.BinaryMessenger$TaskQueue)>",15,io.flutter.embedding.engine.dart.DartExecutor,setMessageHandler,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,"<io.flutter.embedding.engine.dart.DartMessenger: void handleMessageFromDart(java.lang.String,java.nio.ByteBuffer,int,long)>",15,io.flutter.embedding.engine.dart.DartMessenger,handleMessageFromDart,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,"<io.flutter.embedding.engine.dart.DartMessenger: void handlePlatformMessageResponse(int,java.nio.ByteBuffer)>",15,io.flutter.embedding.engine.dart.DartMessenger,handlePlatformMessageResponse,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,"<io.flutter.embedding.engine.systemchannels.PlatformChannel$1: void onMethodCall(io.flutter.plugin.common.MethodCall,io.flutter.plugin.common.MethodChannel$Result)>",15,io.flutter.embedding.engine.systemchannels.PlatformChannel$1,onMethodCall,sdk_mediated,sdk_mediated,no,yes
